date,total_deaths_per_million_mean
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,1.51515151515152E-005
2020-01-12,1.51515151515152E-005
2020-01-13,1.51515151515152E-005
2020-01-14,1.51515151515152E-005
2020-01-15,1.51515151515152E-005
2020-01-16,1.51515151515152E-005
2020-01-17,1.51515151515152E-005
2020-01-18,1.51515151515152E-005
2020-01-19,3.03030303030303E-005
2020-01-20,3.03030303030303E-005
2020-01-21,6.06060606060606E-005
2020-01-22,.000181818181818182
2020-01-23,.000181818181818182
2020-01-24,.000272727272727273
2020-01-25,.000424242424242424
2020-01-26,.000590909090909091
2020-01-27,.000848484848484849
2020-01-28,.00112121212121212
2020-01-29,.00139393939393939
2020-01-30,.00178787878787879
2020-01-31,.00224242424242424
2020-02-01,.00272727272727273
2020-02-02,.00333333333333333
2020-02-03,.00393939393939394
2020-02-04,.00462121212121212
2020-02-05,.00531818181818182
2020-02-06,.00607575757575758
2020-02-07,.00684848484848485
2020-02-08,.00774242424242424
2020-02-09,.00868181818181818
2020-02-10,.00971212121212121
2020-02-11,.0108484848484848
2020-02-12,.0118636363636364
2020-02-13,.0146515151515152
2020-02-14,.0147878787878788
2020-02-15,.016530303030303
2020-02-16,.0180151515151515
2020-02-17,.0197575757575758
2020-02-18,.0208030303030303
2020-02-19,.0222575757575758
2020-02-20,.0238030303030303
2020-02-21,.0253484848484848
2020-02-22,.0271515151515151
2020-02-23,.0297575757575758
2020-02-24,.0324545454545455
2020-02-25,.0352121212121212
2020-02-26,.0384545454545455
2020-02-27,.0404848484848485
2020-02-28,.0437727272727273
2020-02-29,.0475909090909091
2020-03-01,.0529848484848485
2020-03-02,.504984848484849
2020-03-03,.108073170731707
2020-03-04,.752565217391304
2020-03-05,.7858
2020-03-06,.632086206896552
2020-03-07,.582415384615385
2020-03-08,.660593220338983
2020-03-09,.660828125
2020-03-10,1.20172580645161
2020-03-11,1.02738961038961
2020-03-12,1.28937078651685
2020-03-13,1.98314285714286
2020-03-14,1.95282291666667
2020-03-15,1.59367768595041
2020-03-16,2.09171875
2020-03-17,2.44474637681159
2020-03-18,2.89919014084507
2020-03-19,3.48314765100671
2020-03-20,3.34733128834356
2020-03-21,3.45428070175439
2020-03-22,4.65350285714286
2020-03-23,4.73546927374302
2020-03-24,4.8326902173913
2020-03-25,5.21514438502674
2020-03-26,5.43844502617801
2020-03-27,5.97515463917526
2020-03-28,6.42793846153846
2020-03-29,7.10075897435898
2020-03-30,8.03811794871795
2020-03-31,8.88281770833333
2020-04-01,9.74023737373738
2020-04-02,10.602445
2020-04-03,12.055776119403
2020-04-04,13.2875247524752
2020-04-05,14.5420696517413
2020-04-06,15.5798472906404
2020-04-07,16.6813399014778
2020-04-08,18.5616600985222
2020-04-09,19.4429901960784
2020-04-10,20.5377658536585
2020-04-11,21.7041219512195
2020-04-12,22.756712195122
2020-04-13,23.4945268292683
2020-04-14,24.2548682926829
2020-04-15,25.3411902439024
2020-04-16,26.6669219512195
2020-04-17,28.2643219512195
2020-04-18,29.470756097561
2020-04-19,30.4383317073171
2020-04-20,31.3443658536585
2020-04-21,32.3167073170732
2020-04-22,33.3733024390244
2020-04-23,34.8379756097561
2020-04-24,35.7949024390244
2020-04-25,36.8562731707317
2020-04-26,38.5251262135922
2020-04-27,39.2589223300971
2020-04-28,39.8802378640777
2020-04-29,40.8246650485437
2020-04-30,41.5469174757282
2020-05-01,42.0430531400966
2020-05-02,42.5786682692308
2020-05-03,43.1843509615385
2020-05-04,43.700375
2020-05-05,44.1898798076923
2020-05-06,44.8553317307692
2020-05-07,45.5457884615384
2020-05-08,46.1671634615384
2020-05-09,46.8032067307692
2020-05-10,47.2333894230769
2020-05-11,47.6452596153846
2020-05-12,48.0807403846154
2020-05-13,48.6367307692308
2020-05-14,49.2939326923077
2020-05-15,49.5513444976077
2020-05-16,50.2051818181818
2020-05-17,50.684033492823
2020-05-18,50.9758181818182
2020-05-19,51.247019138756
2020-05-20,51.6896602870813
2020-05-21,52.1172009569378
2020-05-22,52.5426602870813
2020-05-23,52.8833205741627
2020-05-24,53.3482296650718
2020-05-25,53.3938038277512
2020-05-26,53.7853588516746
2020-05-27,54.1602727272727
2020-05-28,54.5954401913875
2020-05-29,54.9806794258373
2020-05-30,55.3468373205742
2020-05-31,55.6666028708134
