week,CFR_mean,Country
10,0.242130751,World
11,2.432223889,World
12,2.281278577,World
13,2.376568162,World
14,2.051155898,World
15,2.275531737,World
16,2.699886427,World
17,3.352503095,World
18,5.311408013,World
19,5.27865461,World
20,5.343525151,World
21,5.41176357,World
22,5.578026003,World
23,5.89753578,World
24,6.129491459,World
25,6.263464772,World
26,5.698880824,World
