date,new_deaths_sum,total_cases_sum,IFR
2020-01-01,0,27,0
2020-01-02,0,27,0
2020-01-03,0,44,0
2020-01-04,0,44,0
2020-01-05,0,59,0
2020-01-06,0,59,0
2020-01-07,0,59,0
2020-01-08,0,59,0
2020-01-09,0,59,0
2020-01-10,0,59,0
2020-01-11,1,59,.0169491525423729
2020-01-12,0,59,0
2020-01-13,0,60,0
2020-01-14,0,60,0
2020-01-15,1,61,.0163934426229508
2020-01-16,0,61,0
2020-01-17,0,66,0
2020-01-18,0,83,0
2020-01-19,1,219,.0045662100456621
2020-01-20,0,239,0
2020-01-21,3,392,.0076530612244898
2020-01-22,11,534,.0205992509363296
2020-01-23,0,631,0
2020-01-24,9,897,.0100334448160535
2020-01-25,15,1350,.0111111111111111
2020-01-26,15,2023,.0074147305981216
2020-01-27,25,2820,.00886524822695036
2020-01-28,25,4587,.00545018530630041
2020-01-29,26,6067,.00428547881984506
2020-01-30,38,7823,.00485747155822574
2020-01-31,43,9826,.00437614492163647
2020-02-01,46,11946,.00385066130922485
2020-02-02,46,14554,.00316064312216573
2020-02-03,57,17372,.00328114206769514
2020-02-04,65,20615,.00315304390007276
2020-02-05,66,24512,.00269255874673629
2020-02-06,72,28253,.00254840193961703
2020-02-07,73,31430,.00232262169901368
2020-02-08,86,34869,.00246637414322177
2020-02-09,89,37488,.00237409304310713
2020-02-10,97,40470,.00239683716333086
2020-02-11,108,42970,.00251338142890389
2020-02-12,97,45003,.00215541186143146
2020-02-13,255,60154,.00423911959304452
2020-02-14,13,64322,.000202108143403501
2020-02-15,144,66882,.00215304566251009
2020-02-16,142,68910,.00206065883035844
2020-02-17,106,70977,.00149344153739944
2020-02-18,98,72873,.00134480534628738
2020-02-19,139,74649,.00186204771664724
2020-02-20,114,75102,.0015179356075737
2020-02-21,119,76085,.00156404021817704
2020-02-22,112,77170,.00145134119476481
2020-02-23,104,78178,.00133029752615825
2020-02-24,155,78648,.00197080663208219
2020-02-25,79,79441,.000994448710363666
2020-02-26,63,80306,.000784499290214928
2020-02-27,38,81401,.000466824731882901
2020-02-28,57,82670,.000689488327083585
2020-02-29,62,84518,.00073357154688942
2020-03-01,58,86337,.000671786140356973
2020-03-02,67,88416,.000757781397032211
2020-03-03,72,90005,.000799955558024554
2020-03-04,84,92292,.000910154726303472
2020-03-05,80,94534,.000846256373368312
2020-03-06,102,97624,.00104482504302221
2020-03-07,104,101598,.00102364219768106
2020-03-08,97,105546,.000919030564872188
2020-03-09,228,109678,.0020788125239337
2020-03-10,207,114260,.00181165762296517
2020-03-11,272,119430,.00227748471908231
2020-03-12,326,126910,.00256874950752502
2020-03-13,349,135612,.00257351856767838
2020-03-14,439,145748,.00301204819277108
2020-03-15,361,158005,.00228473782475238
2020-03-16,746,170433,.0043770865970792
2020-03-17,598,184189,.00324666511029432
2020-03-18,800,200659,.00398686328547436
2020-03-19,942,220468,.00427272892211115
2020-03-20,1043,250842,.00415799586991014
2020-03-21,1369,282190,.00485134129487225
2020-03-22,1700,316237,.00537571504915617
2020-03-23,1641,350237,.00468539874427887
2020-03-24,1780,393139,.00452766070015949
2020-03-25,2264,434020,.00521634947698263
2020-03-26,2573,486251,.00529150582723737
2020-03-27,2749,546601,.00502926266142945
2020-03-28,3422,610936,.00560124137389186
2020-03-29,3493,674201,.00518094752158481
2020-03-30,3129,732011,.00427452592925516
2020-03-31,3894,795480,.00489515764066978
2020-04-01,4629,868166,.00533192960793212
